,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
669,"$200,000",2,2,1241,750 S Royal Crest Cir Unit 315,RESALE,,,,,702-825-4663,2,"eatures: Living Room, Other","Electric, 1 Unit",385,"Carpet, Laminate",Blinds,"Assigned, Covered, Guest",Terrace,"Central, Electric",
670,"$415,000",3,2,1925,6174 Quintillion Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 518-8765,3,"eatures: Gas, Glass Doors, Living Room","Central Air, Electric",60,"Laminate, Tile","Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves, Storage","Covered, Patio","Central, Gas","Block, Back Yard, Wrought Iron"
671,"$959,995",3,2,2037,11280 Granite Ridge Dr Unit 1012,RESALE,"Pitched, Tile",Condominium,Yes,Public Sewer,702-292-6788,3,"eatures: Gas, Great Room","Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows","Attached, Epoxy Flooring, Finished Garage, Garage, Inside Entrance, Guest","Covered, Patio","Central, Gas",None
672,"$329,500",None,1,None,145 E Harmon Ave Unit 2611,RESALE,,,,,702-727-1050,,,"Electric, 1 Unit",791,"Carpet, Marble","Drapes, Insulated Windows, Tinted Windows, Window Treatments",Valet,Terrace,"Central, Electric",
673,"$804,000",5,5,4224,6932 Arcadia Creek St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-523-8929,7,"eatures: Family Room, Living Room, Multi-Sided","Central Air, Evaporative Cooling, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
674,"$800,000",4,3,3145,11572 Hadwen Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-388-7722,6,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,Hardwood,Plantation Shutters,"Attached, Garage, Garage Door Opener, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$524,900",4,3,2542,10231 Marbury Peak Ave,RESALE,"Pitched, Tile",Single Family Residence,,Public Sewer,,4,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric", Frequency: Quarterly,"Carpet, Laminate, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Epoxy Flooring, Finished Garage, Garage Door Opener, Inside Entrance, Shelves, Guest","Covered, Patio, Porch","Central, Gas","Block, Back Yard"
,"$438,800",3,2,1807,10108 Summer Oak Ln Unit 102,RESALE,"Pitched, Tile",Townhouse,Yes,Public Sewer,702-777-1234,3,"eatures: Gas, Great Room, Multi-Sided","Central Air, Electric", Frequency: Monthly,"Laminate, Tile","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Open, Private, Storage, Guest","Covered, Patio","Central, Gas",Partial
,"$789,990",5,4,3765,10254 Grapevine Hill Ave Unit Lot 55,UNDER CONSTRUCTION,Tile,Single Family Residence,,Public Sewer,702-635-3600,7,,"Central Air, Electric, High Efficiency",89,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows","Finished Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard"
,"$779,900",6,3,4643,3817 Russet Falls St Unit 4,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-835-8855,8,"eatures: Bath, Family Room, Gas, Glass Doors, Heatilator, Primary Bedroom","Central Air, Electric, Refrigerated, 2 Units",18,"Carpet, Ceramic Tile, Hardwood, Tile","Blinds, Drapes, Plantation Shutters, Window Treatments","Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking, RV Paved","Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$549,000",4,3,3012,4028 Sea Hero St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-650-5575,5,,"Central Air, Electric",35,Carpet,,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$569,000",4,2,1980,1816 Summit Gate Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 429-3095,4,"eatures: Family Room, Gas","Central Air, Electric",60,"Carpet, Ceramic Tile",Double Pane Windows,"Attached, Epoxy Flooring, Finished Garage, Garage, Shelves","Covered, Deck, Patio","Central, Gas","Block, Back Yard"
,"$684,934",3,3,2126,796 Keys View Ave,NEW,"Metal, Slate",Single Family Residence,Yes,Public Sewer,702-659-9005,4,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile",,"Attached, Finished Garage, Garage, Garage Door Opener","Balcony, Patio","Central, Gas","Block, Back Yard"
,"$550,000",3,2,1799,3481 Biela Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-609-9624,3,"eatures: Electric, Living Room","Central Air, Electric",,"Carpet, Other, Tile",,"Attached, Detached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$395,000",3,3,1966,3004 El Camino Ave Unit 24,RESALE,"Pitched, Tile",Townhouse,,Public Sewer,702-834-0464,3,"eatures: Family Room, Primary Bedroom, Wood Burning","Central Air, Electric",190,"Carpet, Linoleum, Marble, Vinyl","Blinds, Drapes","Finished Garage, Garage, Garage Door Opener, Private, Shelves, Guest",Patio,"Central, Electric","Block, Back Yard"
,"$525,000",4,3,2275,9962 Aldersey Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,myersrealtylasvegas@gmail.com,4,,"Central Air, Electric",57,"Carpet, Tile",,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
,"$550,000",2,2,1321,9743 Manheim Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,760-641-1916,3,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Hardwood, Laminate, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
,"$585,000",3,3,2514,110 Augusta Course Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,3,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,Tile,Blinds,"Attached, Garage",,"Central, Gas","Block, Back Yard"
,"$519,999",4,3,2207,6321 Elmira Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-487-5500,4,"eatures: Living Room, Other","Central Air, Electric",,"Carpet, Laminate, Linoleum, Tile, Vinyl",,"Attached, Garage","Covered, Patio","Central, None","Block, Back Yard"
,"$249,900",2,2,1136,936 Boulder Mesa Dr Unit 201,RESALE,Tile,Condominium,,Public Sewer,702-868-9000,2,"eatures: Living Room, Wood Burning","Central Air, Electric",212,"Carpet, Linoleum, Vinyl",,"Assigned, Covered",Deck,"Central, Electric",None
,"$250,000",1,None,None,10550 W Alexander Rd Unit 2019,RESALE,Tile,Condominium,Yes,Public Sewer,,1,,"Central Air, Electric",150,"Carpet, Linoleum, Vinyl",Blinds,"Attached, Garage, Guest, Inside Entrance, Tandem",Balcony,"Central, Gas",None
,"$540,000",3,2,1716,67 Montagna Mirage St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 460-3672,4,,"Central Air, Electric",,Tile,Double Pane Windows,"Attached, Garage, Private","Covered, Patio","Central, Gas","Block, Back Yard"
,"$545,000",5,3,2460,9173 Verdugo Ridge Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-916-3512,6,,"Central Air, Electric",59,"Laminate, Linoleum, Vinyl","Blinds, Double Pane Windows","Attached, Garage",Patio,"Central, Gas","Brick, Back Yard"
,"$538,000",4,3,2798,5848 Capsicum Ct,RESALE,Tile,Single Family Residence,,Public Sewer,702-220-3678,5,,"Central Air, Electric",,"Carpet, Ceramic Tile, Tile",,Inside Entrance,,"Central, Gas","Block, Back Yard"
,"$320,086",3,3,1208,3613 Arcadian Sea St,UNDER CONSTRUCTION,Tile,Townhouse,Yes,Public Sewer,702-659-9005,3,,"Central Air, Electric",129,"Carpet, Ceramic Tile","Blinds, Low Emissivity Windows","Attached, Finished Garage, Garage, Inside Entrance, Private",,"Central, Gas","Front Yard, Wrought Iron"
,"$333,667",3,3,1366,3621 Arcadian Sea St,NEW,Tile,Townhouse,Yes,Public Sewer,702-659-9005,3,,"Central Air, Electric",129,"Carpet, Ceramic Tile","Blinds, Low Emissivity Windows","Attached, Finished Garage, Garage, Inside Entrance, Private",Patio,"Central, Gas",None
,"$515,000",2,2,1928,752 Spur Tree Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 326-3824,3,"eatures: Gas, Great Room","Central Air, Electric",51,"Carpet, Ceramic Tile, Laminate, Marble","Double Pane Windows, Insulated Windows, Plantation Shutters, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$505,000",4,2,1677,26 Indian Run Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 525-4234,4,,"Central Air, Electric",182,"Carpet, Tile",Plantation Shutters,"Attached, Garage, Garage Door Opener, Inside Entrance, Private",Patio,"Central, Gas","Block, Back Yard"
,"$575,000",5,3,3010,6315 Pinion Jay St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-360-2030,6,,"Central Air, Electric, 2 Units",,"Ceramic Tile, Laminate","Blinds, Double Pane Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Open, Private","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$559,000",1,None,None,900 Las Vegas Blvd S Unit 1006,RESALE,,,,,702-566-5827,1,,"Electric, 1 Unit",650,Concrete,"Blinds, Tinted Windows",,Terrace,"Central, Gas",
,"$480,000",4,2,1980,1940 Trail Peak Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-370-8168,4,"eatures: Family Room, Gas","Central Air, Electric",60,"Carpet, Hardwood, Tile","Blinds, Drapes, Plantation Shutters, Window Treatments","Attached, Garage, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$1,200,000",6,6,5061,4815 N Riley St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,casie.jolley@gmail.com,8,"eatures: Bedroom, Gas, Glass Doors, Great Room","Central Air, Electric, 2 Units",,"Carpet, Laminate, Marble, Tile","Double Pane Windows, Plantation Shutters, Skylight(s)","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, RV Access/Parking, RV Paved",Balcony,"Central, Gas, Multiple Heating Units","Block, Back Yard, RV Gate"
,"$1,399,900",6,6,4876,10628 Lago Cantini St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,8,"eatures: Family Room, Gas, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Laminate, Tile","Double Pane Windows, Insulated Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,230,000",4,6,3311,1860 Ski Slope Cir,RESALE,"Pitched, Tile",Single Family Residence,No,Septic Tank,(702) 408-6599,5,"eatures: Electric, Family Room","Central Air, Electric",,"Linoleum, Tile, Vinyl",,"Detached, Garage, RV Access/Parking, RV Paved",,"Central, Electric","Block, Back Yard"
,"$1,295,900",4,4,3976,5364 Monessen Ct Unit 8,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 321-6718,5,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric", Frequency: Monthly,Laminate,Plantation Shutters,"Attached, Epoxy Flooring, Garage, Inside Entrance",Balcony,"Central, Gas","Block, Back Yard"
,"$1,150,000",4,5,4053,9521 Queen Charlotte Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 686-6638,6,"eatures: Gas, Great Room","Central Air, Electric, 2 Units",442,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Inside Entrance",,"Central, Gas, Multiple Heating Units","Back Yard, Wrought Iron"
,"$1,099,000",6,5,4338,7210 El Malpais St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-745-1205,7,"eatures: Bath, Living Room, Multi-Sided","Central Air, Electric, 2 Units",112,"Carpet, Hardwood, Marble, Tile","Blinds, Low Emissivity Windows","Attached, Garage, Inside Entrance","Balcony, Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
,"$1,140,000",2,3,2088,353 E Bonneville Ave Unit 1404,RESALE,,,,,(702) 682-0123,3,"eatures: Gas, Great Room","Electric, High Efficiency",682,Hardwood,"Low Emissivity Windows, Tinted Windows, Window Treatments","Assigned, Covered, Garage, Private, One Space",Terrace,"Central, Gas",
,"$1,450,000",2,3,2638,9103 Alta Dr Unit 1103,RESALE,,,,,jerrymasini@gmail.com,3,"eatures: Gas, Great Room","Electric, 1 Unit", Frequency: Monthly,"Carpet, Marble","Drapes, Low Emissivity Windows, Window Treatments","Assigned, Covered, Garage, Indoor, Private, Valet, Guest",Terrace,"Central, Electric",
,"$1,100,000",5,5,4869,3235 S Tioga Way,RESALE,Tile,Single Family Residence,Yes,Septic Tank,702-684-6100,6,"eatures: Family Room, Gas, Living Room","Central Air, Electric, 2 Units",,"Carpet, Ceramic Tile","Blinds, Plantation Shutters","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, Private, RV Gated, RV Access/Parking","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,099,900",4,4,3400,6214 Amber View St,RESALE,Other,Single Family Residence,Yes,Public Sewer,702-583-3030,4,,"Central Air, Electric",88,"Carpet, Laminate",Blinds,"Attached, Garage, Garage Door Opener, Guest","Balcony, Deck","Central, Gas","Block, Back Yard"
,"$1,100,000",4,4,5120,11209 Campsie Fells Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-309-3888,6,"eatures: Bedroom, Gas, Great Room","Central Air, Electric", Frequency: Monthly,Laminate,"Tinted Windows, Window Treatments","Attached, Garage, Shelves","Balcony, Porch","Central, Gas","Brick, Back Yard"
,"$1,050,000",3,3,3464,6435 Convinto St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 610-4616,4,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",71,"Hardwood, Tile","Drapes, Low Emissivity Windows, Plantation Shutters, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, RV Hook-Ups, RV Gated, RV Access/Parking, RV Paved, Shelves","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,050,000",3,3,2563,207 Native Stone St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-493-5471,4,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile","Double Pane Windows, Drapes, Window Treatments","Attached, Garage","Covered, Patio","Central, Gas","Block, Full"
,"$1,150,000",4,4,3836,7244 W Camero Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-256-0146,4,"eatures: Family Room, Gas, Living Room","Central Air, Electric",,Carpet,Blinds,"Attached, Garage","Patio, Porch","Central, Gas","Block, Back Yard"
,"$1,050,000",2,3,2055,1 Hughes Center Dr Unit 302,RESALE,,,,,702-499-1963,2,,"Electric, 1 Unit", Frequency: Monthly,"Carpet, Ceramic Tile, Marble","Tinted Windows, Window Treatments","Assigned, Covered, Guest",Terrace,"Central, Electric",
,"$1,100,000",2,3,2271,9103 Alta Dr Unit 707,RESALE,,,,,702-869-8888,3,,"Electric, 1 Unit",2700,"Carpet, Marble","Drapes, Low Emissivity Windows, Tinted Windows","Assigned, Covered, Indoor, Guest",Terrace,"Central, Electric",
,"$1,050,000",3,3,3010,8320 Carmel Ridge Ct Unit 2,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-224-4978,4,"eatures: Gas, Primary Bedroom","Central Air, Electric", Frequency: Monthly,"Carpet, Laminate, Tile",Double Pane Windows,"Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Guest","Balcony, Covered, Patio","Central, Gas","Block, Brick, Back Yard, Wrought Iron"
,"$1,099,500",5,3,3842,3181 Westwind Rd,RESALE,Asphalt,Single Family Residence,Yes,Public Sewer,(702) 427-6703,6,"eatures: Family Room, Heatilator, Wood Burning","Central Air, Electric, 2 Units",,"Carpet, Tile",Window Treatments,"Attached, Exterior Access Door, Epoxy Flooring, Finished Garage, Garage, Inside Entrance, Private","Covered, Patio","Central, Gas, Multiple Heating Units, Zoned","Block, Back Yard"
,"$1,195,000",3,4,4134,7879 Bermuda Dunes Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-843-5408,6,"eatures: Family Room, Gas, Living Room, Primary Bedroom, Multi-Sided","Central Air, Electric, 2 Units", Frequency: Monthly,"Bamboo, Cork, Marble","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves, Storage","Balcony, Covered, Patio","Central, Electric, Multiple Heating Units","Full, Stucco Wall"
,"$1,050,000",3,3,2841,167 Ebb Tide Cir,RESALE,Tile,Single Family Residence,Yes,Septic Tank,725-465-7646,3,"eatures: Family Room, Gas, Glass Doors, Living Room, Primary Bedroom, Multi-Sided","Central Air, Electric, 2 Units",,"Carpet, Linoleum, Vinyl",Blinds,"Attached Carport, Attached, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking, RV Covered","Covered, Patio","Central, Electric, Multiple Heating Units","Block, Back Yard"
,"$1,150,000",4,3,3851,4571 N Chieftain St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,702-727-1050,4,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric, 2 Units",,"Carpet, Hardwood, Tile",Double Pane Windows,"Attached, Garage, Inside Entrance, RV Gated, RV Access/Parking, Storage",Balcony,"Central, Propane","Block, Back Yard, RV Gate, Stucco Wall"
,"$1,049,900",5,4,2759,154 Aneto St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-335-7440,6,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile, Hardwood","Double Pane Windows, Insulated Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Guest","Covered, Patio","Central, Gas, High Efficiency, Multiple Heating Units","Block, Back Yard"
,"$1,050,000",4,3,3460,6260 Darby Ave,RESALE,Tile,Single Family Residence,Yes,Septic Tank,(702) 807-5920,6,,"Central Air, Electric, 2 Units",,Laminate,"Double Pane Windows, Tinted Windows","Attached, Garage",,"Central, Gas","Back Yard, Stucco Wall"
,"$1,100,000",4,3,3106,1501 Montessouri St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,702-501-5231,4,"eatures: Family Room, Glass Doors, Living Room, Wood Burning","Central Air, Electric",,"Laminate, Tile","Blinds, Double Pane Windows, Drapes, Window Treatments","Attached Carport, Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking","Covered, Patio, Porch","Central, Electric","Block, Back Yard"
,"$1,100,000",4,4,2444,112 Springbough Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 768-0493,5,"eatures: Electric, Living Room","Central Air, Electric, High Efficiency", Frequency: Monthly,"Carpet, Laminate, Tile",Triple Pane Windows,"Attached, Garage","Covered, Patio","Central, Gas, High Efficiency","Block, Back Yard"
,"$925,000",5,4,4581,9732 University Ridge Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Charmaine@theprosperogroup.com,8,"eatures: Gas, Great Room","Central Air, Electric",110,"Carpet, Ceramic Tile","Blinds, Window Treatments","Attached, Garage, Inside Entrance","Balcony, Covered, Deck, Patio","Central, Gas","Block, Back Yard"
,"$889,900",4,3,3358,369 Azar Swan Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-727-1050,6,,"Central Air, Electric, 2 Units",90,"Carpet, Hardwood","Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Exterior Access Door, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, RV Gated, RV Access/Parking","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$789,990",5,4,3765,10254 Grapevine Hill Ave Unit Lot 55,UNDER CONSTRUCTION,Tile,Single Family Residence,,Public Sewer,702-635-3600,7,,"Central Air, Electric, High Efficiency",89,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows","Finished Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard"
,"$779,900",6,3,4643,3817 Russet Falls St Unit 4,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-835-8855,8,"eatures: Bath, Family Room, Gas, Glass Doors, Heatilator, Primary Bedroom","Central Air, Electric, Refrigerated, 2 Units",18,"Carpet, Ceramic Tile, Hardwood, Tile","Blinds, Drapes, Plantation Shutters, Window Treatments","Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking, RV Paved","Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$2,499,900",3,4,3797,54 Glade Hollow Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-809-2330,4,"eatures: Gas, Great Room","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Tile",Low Emissivity Windows,"Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Gas, High Efficiency, Multiple Heating Units","Brick, Back Yard"
,"$3,800,000",4,5,4618,4204 Lapis Ridge Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-360-2030,4,"eatures: Gas, Great Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,779,000",4,5,4326,8116 Sapphire Bay Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-696-1900,6,"eatures: Gas, Great Room, Primary Bedroom","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Hardwood, Marble, Tile","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, RV Hook-Ups, RV Potential","Balcony, Covered, Patio","Gas, High Efficiency, Multiple Heating Units","Block, Back Yard, Stucco Wall, Wrought Iron"
,"$3,250,000",5,6,6592,778 Tozzetti Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,5,"eatures: Gas, Living Room, Primary Bedroom","Central Air, Electric",225,"Hardwood, Marble, Tile",,"Attached, Garage",Balcony,"Central, Gas","Block, Back Yard"
,"$759,900",4,3,2630,10520 Maystar Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-930-8408,5,"eatures: Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Hardwood, Tile","Blinds, Double Pane Windows","Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$799,900",5,4,3866,6407 Carmel Creek Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,6,"eatures: Family Room, Gas","Central Air, Electric",100,"Carpet, Hardwood, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$725,000",4,4,3148,7335 Winesburg St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 467-7333,6,,"Central Air, Electric", Frequency: Quarterly,"Carpet, Tile","Double Pane Windows, Plantation Shutters, Window Treatments","Attached, Epoxy Flooring, Garage, Inside Entrance, Private","Covered, Patio","Central, Gas","Block, Back Yard"
,"$2,099,000",4,4,3275,6817 Double Star St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Laminate, Tile","Blinds, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance",,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$765,888",5,3,2466,379 Purple Sandpiper St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-688-6402,6,,"Central Air, Electric, ENERGY STAR Qualified Equipment", Frequency: Monthly,"Carpet, Linoleum, Vinyl","Blinds, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Private","Balcony, Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard"
,"$825,000",5,3,2928,255 Chestnut Ridge Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",73,"Carpet, Laminate, Tile",Double Pane Windows,"Attached, Garage, Shelves",Patio,"Central, Gas","Block, Back Yard"
,"$749,900",4,4,3357,9013 Heavenly Valley Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,5,"eatures: Family Room, Gas, Great Room","Central Air, Gas",82,"Carpet, Laminate, Tile",,"Attached, Garage, Garage Door Opener",,"Central, Gas","Block, Back Yard"
,"$774,900",3,3,2172,169 Lisett St,UNDER CONSTRUCTION,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-596-2040,3,,"Central Air, Electric", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Low Emissivity Windows","Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, Tandem","Covered, Patio","Central, Gas","Block, Back Yard"
,"$735,000",5,4,3940,741 Secret London Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-586-8588,6,,"Central Air, Electric, 2 Units",83,Laminate,"Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage","Balcony, Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$2,150,000",4,4,4667,612 Hermosa Canyon Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-303-7910,7,"eatures: Bath, Gas, Living Room, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Hardwood, Marble, Tile","Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Shelves, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Back Yard, Stucco Wall"
,"$920,000",5,3,4133,4532 N Kevin Way Unit A,RESALE,"Composition, Shingle, Tile",Single Family Residence,Yes,Public Sewer,702-583-3030,6,,"Central Air, Electric, 2 Units",,"Carpet, Tile",Plantation Shutters,"Attached, Epoxy Flooring, Garage, RV Access/Parking, RV Paved",,"Electric, Multiple Heating Units",Back Yard
,"$719,900",4,4,2935,140 Clybourn Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-656-2525,5,"eatures: Family Room, Gas","Central Air, Electric, Refrigerated, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves",,"Gas, Multiple Heating Units","Block, Back Yard"
,"$770,000",3,4,3405,5601 MacKenzie Park Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 400-9527,5,,"Central Air, Electric, 2 Units",110,"Carpet, Tile","Blinds, Double Pane Windows","Attached, Garage, Private","Covered, Patio","Central, Gas, Multiple Heating Units, Solar","Block, Back Yard"
